Product Type,Master Key,Canvas Width (Pixels),Canvas Height (Pixels),Canvas DPI,Canvas Color,Font Name,Font Size (points),Font Line Height,Line Y-Axis,Font Weight,Font Width,Font Slant,Font Style,Vertically Scale,Text Alignment with canvas,Paragraph,X-Logo_ X-Axis,X-Logo_Y- Axis,Red X File Name,White X File Name
long-sleeve,120,3600,4800,300,Transparent,Acumin VF,81.78,81.78,611.31,825,50,0,ExtraCondensed Black-825,120%,Center,Center Text,270.15,241.24,red_270x241.png,white_270x241.png
long-sleeve,120.5,3600,4800,300,Transparent,Acumin VF,83.82,83.82,609.63,825,50,0,ExtraCondensed Black-825,120%,Center,Center Text,270.15,241.24,red_270x241.png,white_270x241.png
long-sleeve,121.42,3600,4800,300,Transparent,Acumin VF,87.58,87.58,606.63,825,50,0,ExtraCondensed Black-825,120%,Center,Center Text,270.15,241.24,red_270x241.png,white_270x241.png
long-sleeve,122,3600,4800,300,Transparent,Acumin VF,89.96,89.96,605.5,825,50,0,ExtraCondensed Black-825,120%,Center,Center Text,270.15,241.24,red_270x241.png,white_270x241.png
long-sleeve,122.5,3600,4800,300,Transparent,Acumin VF,92,92,603.82,825,50,0,ExtraCondensed Black-825,120%,Center,Center Text,270.15,241.24,red_270x241.png,white_270x241.png
long-sleeve,123,3600,4800,300,Transparent,Acumin VF,94.04,94.04,602.14,825,50,0,ExtraCondensed Black-825,120%,Center,Center Text,270.15,241.24,red_270x241.png,white_270x241.png
long-sleeve,220,3600,4800,300,Transparent,Acumin VF,81.78,118.58,487.31,825,50,0,ExtraCondensed Black-826,120%,Center,Center Text,270.15,241.24,red_270x241.png,white_270x241.png
long-sleeve,220.5,3600,4800,300,Transparent,Acumin VF,83.82,120.62,485.63,825,50,0,ExtraCondensed Black-827,120%,Center,Center Text,270.15,241.24,red_270x241.png,white_270x241.png
long-sleeve,221.42,3600,4800,300,Transparent,Acumin VF,87.58,122.67,481.63,825,50,0,ExtraCondensed Black-828,120%,Center,Center Text,270.15,241.24,red_270x241.png,white_270x241.png
long-sleeve,222,3600,4800,300,Transparent,Acumin VF,89.96,128.8,479.5,825,50,0,ExtraCondensed Black-829,120%,Center,Center Text,270.15,241.24,red_270x241.png,white_270x241.png
long-sleeve,222.5,3600,4800,300,Transparent,Acumin VF,92,130.84,477.82,825,50,0,ExtraCondensed Black-830,120%,Center,Center Text,270.15,241.24,red_270x241.png,white_270x241.png
long-sleeve,223,3600,4800,300,Transparent,Acumin VF,94.04,132.89,476.14,825,50,0,ExtraCondensed Black-831,120%,Center,Center Text,270.15,241.24,red_270x241.png,white_270x241.png
long-sleeve,320,3600,4800,300,Transparent,Acumin VF,81.78,114.49,311.31,825,50,0,ExtraCondensed Black-832,120%,Center,Center Text,270.15,241.24,red_270x241.png,white_270x241.png
long-sleeve,320.5,3600,4800,300,Transparent,Acumin VF,83.82,114.49,309.63,825,50,0,ExtraCondensed Black-833,120%,Center,Center Text,270.15,241.24,red_270x241.png,white_270x241.png
long-sleeve,321.42,3600,4800,300,Transparent,Acumin VF,87.58,114.49,306.63,825,50,0,ExtraCondensed Black-834,120%,Center,Center Text,270.15,241.24,red_270x241.png,white_270x241.png
long-sleeve,322,3600,4800,300,Transparent,Acumin VF,89.96,116.53,305.5,825,50,0,ExtraCondensed Black-835,120%,Center,Center Text,270.15,241.24,red_270x241.png,white_270x241.png
long-sleeve,322.5,3600,4800,300,Transparent,Acumin VF,92,118.58,303.82,825,50,0,ExtraCondensed Black-836,120%,Center,Center Text,270.15,241.24,red_270x241.png,white_270x241.png
long-sleeve,323,3600,4800,300,Transparent,Acumin VF,94.04,118.58,302.14,825,50,0,ExtraCondensed Black-837,120%,Center,Center Text,270.15,241.24,red_270x241.png,white_270x241.png
